frame,psnr_full,psnr_ours,psnr_error,psnr_random,delta_q_vs_error,delta_q_vs_random,opt_time_ours_ms,opt_time_err_ms
1,9.985952377319336,9.985952377319336,9.985952377319336,9.985952377319336,0.0,0.0,38.40970993041992,95.09587287902832
2,9.264716506004333,9.264716506004333,9.264716506004333,9.264716506004333,0.0,0.0,39.371490478515625,101.91464424133301
3,8.904248476028442,8.904248476028442,8.904248476028442,8.915320038795471,0.0,-0.011071562767028809,39.46089744567871,99.66707229614258
4,8.750572800636292,8.750572800636292,8.750572800636292,8.776187300682068,0.0,-0.025614500045776367,38.872718811035156,94.76995468139648
5,8.670251369476318,8.670251369476318,8.670251369476318,8.685442805290222,0.0,-0.015191435813903809,81.47668838500977,95.94535827636719
6,8.494169116020203,8.494169116020203,8.494169116020203,8.50695013999939,0.0,-0.012781023979187012,48.64668846130371,94.12956237792969
7,8.137054443359375,8.137054443359375,8.137054443359375,8.15834105014801,0.0,-0.021286606788635254,51.069021224975586,93.69349479675293
8,7.842250466346741,7.842250466346741,7.842250466346741,7.840104699134827,0.0,0.0021457672119140625,59.20100212097168,93.31846237182617
9,7.6366883516311646,7.6366883516311646,7.6366883516311646,7.617524862289429,0.0,0.01916348934173584,56.19645118713379,97.17440605163574
10,7.427650690078735,7.427650690078735,7.427650690078735,7.409030795097351,0.0,0.018619894981384277,77.15296745300293,102.63800621032715
11,7.284834980964661,7.284834980964661,7.284834980964661,7.2793179750442505,0.0,0.005517005920410156,65.72175025939941,104.6602725982666
12,7.153739929199219,7.153739929199219,7.153739929199219,7.163801193237305,0.0,-0.010061264038085938,71.1672306060791,149.60455894470215
13,7.045438289642334,7.045438289642334,7.045438289642334,7.0547813177108765,0.0,-0.00934302806854248,72.72100448608398,98.28329086303711
14,6.913275122642517,6.913275122642517,6.913275122642517,6.919810175895691,0.0,-0.006535053253173828,72.93152809143066,105.8201789855957
15,6.8647825717926025,6.8647825717926025,6.8647825717926025,6.8730562925338745,0.0,-0.008273720741271973,79.0097713470459,103.54018211364746
16,6.857038140296936,6.857038140296936,6.857038140296936,6.872389912605286,0.0,-0.01535177230834961,84.75565910339355,105.09634017944336
17,6.754046678543091,6.754046678543091,6.754046678543091,6.775778532028198,0.0,-0.021731853485107422,67.02637672424316,108.31499099731445
18,6.73822283744812,6.73822283744812,6.73822283744812,6.7585039138793945,0.0,-0.020281076431274414,65.92845916748047,97.98741340637207
19,6.7766910791397095,6.7766910791397095,6.7766910791397095,6.828556060791016,0.0,-0.05186498165130615,68.6483383178711,98.47187995910645
20,6.7495763301849365,6.7495763301849365,6.7495763301849365,6.818093657493591,0.0,-0.06851732730865479,61.2635612487793,99.69019889831543
21,6.718522906303406,6.718522906303406,6.718522906303406,6.7654335498809814,0.0,-0.046910643577575684,57.520151138305664,100.27217864990234
22,6.75988495349884,6.75988495349884,6.75988495349884,6.791071891784668,0.0,-0.031186938285827637,57.779550552368164,102.0193099975586
23,6.850415468215942,6.850415468215942,6.850415468215942,6.872997879981995,0.0,-0.022582411766052246,63.11154365539551,107.8193187713623
24,6.943669319152832,6.943669319152832,6.943669319152832,6.965844631195068,0.0,-0.022175312042236328,63.97390365600586,100.36325454711914
25,7.004142999649048,7.004142999649048,7.004142999649048,7.041066288948059,0.0,-0.03692328929901123,61.0506534576416,100.43907165527344
26,7.103381156921387,7.103381156921387,7.103381156921387,7.1355074644088745,0.0,-0.03212630748748779,65.32120704650879,107.74111747741699
27,7.293694019317627,7.293694019317627,7.293694019317627,7.33300507068634,0.0,-0.03931105136871338,66.15257263183594,107.60784149169922
28,7.410334944725037,7.410334944725037,7.410334944725037,7.471483945846558,0.0,-0.061149001121520996,67.49796867370605,108.71601104736328
29,7.423865795135498,7.423865795135498,7.423865795135498,7.446606755256653,0.0,-0.022740960121154785,69.36478614807129,113.38329315185547
30,7.5205594301223755,7.5205594301223755,7.5205594301223755,7.535300850868225,0.0,-0.01474142074584961,72.68786430358887,111.9842529296875
