frame,seed,policy,psnr,psnr_pre,psnr_post,delta_q_step,delta_q_trajectory,delta_q_cumulative,ssim,depth_l1,n_gaussians,n_selected,fraction_selected,predicted_cost,scheduled_cost,budget_ms,actual_opt_ms,frame_wall_ms,is_pred_violation,is_opt_violation,is_frame_violation,jaccard_overlap,rejected_negative_count,norm_drift,vram_allocated_mb,vram_max_mb
1,42,no_op,13.458311557769775,13.458311557769775,13.458311557769775,0.0,0.023282766342163086,0.023282766342163086,0.653879702091217,1.3533592224121094,3569,0,0.0,0.0,0.0,15.0,0.0,5146.945151995169,False,False,True,0.0,0,0.0,50.80029296875,68.0712890625
2,42,no_op,13.423192501068115,13.423192501068115,13.423192501068115,0.0,-0.035119056701660156,-0.01183629035949707,0.650033175945282,1.3560621738433838,3634,0,0.0,0.0,0.0,15.0,0.0,5056.258083997818,False,False,True,0.0,0,0.0,50.822265625,68.6669921875
3,42,no_op,13.293405771255493,13.293405771255493,13.293405771255493,0.0,-0.12978672981262207,-0.14162302017211914,0.6369120478630066,1.3608897924423218,3704,0,0.0,0.0,0.0,15.0,0.0,5127.8401509989635,False,False,True,0.0,0,0.0,50.83349609375,68.69140625
4,42,no_op,13.114161491394043,13.114161491394043,13.114161491394043,0.0,-0.1792442798614502,-0.32086730003356934,0.6200851798057556,1.3368854522705078,3770,0,0.0,0.0,0.0,15.0,0.0,5285.373560996959,False,False,True,0.0,0,0.0,50.85498046875,68.705078125
5,42,no_op,12.958637475967407,12.958637475967407,12.958637475967407,0.0,-0.15552401542663574,-0.4763913154602051,0.6046439409255981,1.36764395236969,3838,0,0.0,0.0,0.0,15.0,0.0,5501.257979994989,False,False,True,0.0,0,0.0,50.8662109375,68.73388671875
6,42,no_op,12.895303964614868,12.895303964614868,12.895303964614868,0.0,-0.06333351135253906,-0.5397248268127441,0.5989128947257996,1.3397855758666992,3905,0,0.0,0.0,0.0,15.0,0.0,5231.390665998333,False,False,True,0.0,0,0.0,50.89404296875,68.751953125
7,42,no_op,12.848773002624512,12.848773002624512,12.848773002624512,0.0,-0.046530961990356445,-0.5862557888031006,0.5939772129058838,1.3465946912765503,3973,0,0.0,0.0,0.0,15.0,0.0,5255.298162999679,False,False,True,0.0,0,0.0,50.91650390625,68.7822265625
8,42,no_op,12.846111059188843,12.846111059188843,12.846111059188843,0.0,-0.0026619434356689453,-0.5889177322387695,0.5941209197044373,1.3449037075042725,4045,0,0.0,0.0,0.0,15.0,0.0,5370.847786995,False,False,True,0.0,0,0.0,50.927734375,68.80224609375
9,42,no_op,12.806390523910522,12.806390523910522,12.806390523910522,0.0,-0.03972053527832031,-0.6286382675170898,0.5859569311141968,1.330196738243103,4115,0,0.0,0.0,0.0,15.0,0.0,5338.7956009974005,False,False,True,0.0,0,0.0,50.94970703125,68.84033203125
10,42,no_op,12.72254228591919,12.72254228591919,12.72254228591919,0.0,-0.08384823799133301,-0.7124865055084229,0.5739409327507019,1.329634428024292,4186,0,0.0,0.0,0.0,15.0,0.0,5420.619725002325,False,False,True,0.0,0,0.0,50.96337890625,68.86474609375
11,42,no_op,12.647370100021362,12.647370100021362,12.647370100021362,0.0,-0.07517218589782715,-0.78765869140625,0.56109619140625,1.3303253650665283,4258,0,0.0,0.0,0.0,15.0,0.0,5522.675886000798,False,False,True,0.0,0,0.0,50.98388671875,68.9248046875
12,42,no_op,12.520240545272827,12.520240545272827,12.520240545272827,0.0,-0.12712955474853516,-0.9147882461547852,0.5439275503158569,1.3418779373168945,4325,0,0.0,0.0,0.0,15.0,0.0,5565.113755998027,False,False,True,0.0,0,0.0,50.99658203125,68.94775390625
13,42,no_op,12.338297367095947,12.338297367095947,12.338297367095947,0.0,-0.18194317817687988,-1.096731424331665,0.5202273726463318,1.3744534254074097,4398,0,0.0,0.0,0.0,15.0,0.0,5655.636540999694,False,False,True,0.0,0,0.0,51.01904296875,68.962890625
14,42,no_op,12.213189601898193,12.213189601898193,12.213189601898193,0.0,-0.1251077651977539,-1.221839189529419,0.5028188228607178,1.3736311197280884,4460,0,0.0,0.0,0.0,15.0,0.0,5584.9279159956495,False,False,True,0.0,0,0.0,51.0302734375,68.98779296875
15,42,no_op,12.08206295967102,12.08206295967102,12.08206295967102,0.0,-0.13112664222717285,-1.3529658317565918,0.4836078882217407,1.3793480396270752,4533,0,0.0,0.0,0.0,15.0,0.0,5511.985013996309,False,False,True,0.0,0,0.0,51.0517578125,69.0009765625
16,42,no_op,11.967006921768188,11.967006921768188,11.967006921768188,0.0,-0.11505603790283203,-1.4680218696594238,0.46753180027008057,1.3964228630065918,4597,0,0.0,0.0,0.0,15.0,0.0,5678.795714004082,False,False,True,0.0,0,0.0,51.06298828125,69.02490234375
17,42,no_op,11.918646097183228,11.918646097183228,11.918646097183228,0.0,-0.04836082458496094,-1.5163826942443848,0.4591061770915985,1.4090666770935059,4664,0,0.0,0.0,0.0,15.0,0.0,5710.488877994067,False,False,True,0.0,0,0.0,51.0849609375,69.03857421875
18,42,no_op,11.791433095932007,11.791433095932007,11.791433095932007,0.0,-0.1272130012512207,-1.6435956954956055,0.43705636262893677,1.4057201147079468,4734,0,0.0,0.0,0.0,15.0,0.0,5816.907906999404,False,False,True,0.0,0,0.0,51.09619140625,69.04296875
19,42,no_op,11.722078323364258,11.722078323364258,11.722078323364258,0.0,-0.06935477256774902,-1.7129504680633545,0.4273703694343567,1.421609878540039,4807,0,0.0,0.0,0.0,15.0,0.0,5825.084187003085,False,False,True,0.0,0,0.0,51.1240234375,69.056640625
20,42,no_op,11.702300310134888,11.702300310134888,11.702300310134888,0.0,-0.019778013229370117,-1.7327284812927246,0.4200246334075928,1.424498438835144,4878,0,0.0,0.0,0.0,15.0,0.0,5797.64272000466,False,False,True,0.0,0,0.0,51.146484375,69.0869140625
21,42,no_op,11.632943153381348,11.632943153381348,11.632943153381348,0.0,-0.06935715675354004,-1.8020856380462646,0.4069959819316864,1.4319705963134766,4947,0,0.0,0.0,0.0,15.0,0.0,6029.626627001562,False,False,True,0.0,0,0.0,51.15771484375,69.10205078125
22,42,no_op,11.611552238464355,11.611552238464355,11.611552238464355,0.0,-0.021390914916992188,-1.8234765529632568,0.4051840901374817,1.4348652362823486,5012,0,0.0,0.0,0.0,15.0,0.0,5868.862914998317,False,False,True,0.0,0,0.0,51.17919921875,69.10205078125
