frame,seed,policy,t_extract_ms,t_a1_ms,t_b2_norm_ms,t_infer_ms,t_knapsack_ms,t_selection_total_ms,t_cache_ms,actual_opt_ms,t_statestore_update_ms,t_render_and_overhead_ms,frame_wall_ms
1,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6995229996391572,5734.610248000081,5735.30977099972
2,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3428619997976057,5879.156000999956,5879.498862999753
3,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1387760000616254,7073.582275999797,7074.721051999859
4,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26596099996822886,6156.767495000167,6157.033456000136
5,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2789670002130151,6087.7245949995995,6088.0035619998125
6,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277470000284666,6036.328203999801,6036.65595099983
7,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30295000033220276,6111.42827599997,6111.731226000302
8,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31420999994224985,6079.174340999998,6079.48855099994
9,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556110000317858,6343.268038000133,6343.623649000165
10,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24841399999786518,6363.573197000278,6363.821611000276
11,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28559200018207775,6306.425591999869,6306.711184000051
12,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25844099991445546,6580.87583500037,6581.134276000284
13,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2957120000246505,6319.217424999806,6319.513136999831
14,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33489299994471367,6258.192018000045,6258.52691099999
15,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26353000021117623,6272.17793599948,6272.441465999691
16,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2656219999153109,6433.00172499994,6433.267346999855
17,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9174800002256234,6555.244538999432,6556.162018999657
18,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33463899990238133,6484.524891000092,6484.859529999994
19,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26458000002094195,6470.462624999982,6470.727205000003
20,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654290001373738,6417.167197999788,6417.432626999926
21,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26859100034926087,6160.0987809997605,6160.36737200011
22,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28324900040388457,6326.040416999604,6326.3236660000075
23,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2698140001484717,6617.588939000143,6617.8587530002915
24,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828219999173598,6556.40074799976,6556.683569999677
25,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236069997001323,6468.077192000237,6468.400798999937
26,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32802800024001044,6786.6130339994015,6786.9410619996415
27,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2541009998822119,6447.253141000147,6447.507242000029
28,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255913000273722,6483.476447999692,6483.732360999966
29,42,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3260710000176914,6709.141689999797,6709.467760999814
1,42,error_only,0.3013939999618742,0.3087430000050517,0.060476000271592056,3.7661110000044573,0.4608389999702922,5.1559509997787245,169.13580894470215,33.63656997680664,0.32524199968975154,5100.038318078987,5308.291889999964
2,42,error_only,0.3472540001894231,0.32626400025037583,0.09131600018008612,0.4228309999234625,0.4303209998397506,1.7712819999360363,173.02727699279785,6.549358367919922,0.32532400018681074,5334.208480639063,5515.881721999904
