frame,seed,policy,vram_allocated_mb,vram_max_mb
1,42,no_op,50.80029296875,68.0712890625
2,42,no_op,50.822265625,68.6669921875
3,42,no_op,50.83349609375,68.69140625
4,42,no_op,50.85498046875,68.705078125
5,42,no_op,50.8662109375,68.73388671875
6,42,no_op,50.89404296875,68.751953125
7,42,no_op,50.91650390625,68.7822265625
8,42,no_op,50.927734375,68.80224609375
9,42,no_op,50.94970703125,68.84033203125
10,42,no_op,50.96337890625,68.86474609375
11,42,no_op,50.98388671875,68.9248046875
12,42,no_op,50.99658203125,68.94775390625
13,42,no_op,51.01904296875,68.962890625
14,42,no_op,51.0302734375,68.98779296875
15,42,no_op,51.0517578125,69.0009765625
16,42,no_op,51.06298828125,69.02490234375
17,42,no_op,51.0849609375,69.03857421875
18,42,no_op,51.09619140625,69.04296875
19,42,no_op,51.1240234375,69.056640625
20,42,no_op,51.146484375,69.0869140625
21,42,no_op,51.15771484375,69.10205078125
22,42,no_op,51.17919921875,69.10205078125
23,42,no_op,51.1904296875,69.14453125
24,42,no_op,51.21240234375,69.17236328125
25,42,no_op,51.22607421875,69.19677734375
26,42,no_op,51.24609375,69.212890625
27,42,no_op,51.25927734375,69.2353515625
28,42,no_op,51.28173828125,69.2509765625
29,42,no_op,51.29296875,69.27099609375
1,42,error_only,61.90185546875,81.33984375
2,42,error_only,61.9287109375,81.47412109375
3,42,error_only,61.94287109375,81.51708984375
4,42,error_only,61.96923828125,81.58447265625
5,42,error_only,62.00390625,81.6416015625
6,42,error_only,62.01806640625,81.66796875
7,42,error_only,62.04443359375,81.7568359375
8,42,error_only,62.0625,81.802734375
9,42,error_only,62.08740234375,81.814453125
10,42,error_only,62.1044921875,81.8896484375
11,42,error_only,62.1318359375,81.91357421875
12,42,error_only,62.14599609375,81.96337890625
13,42,error_only,62.17236328125,82.10888671875
14,42,error_only,62.1865234375,82.1259765625
15,42,error_only,62.212890625,82.14599609375
16,42,error_only,62.22705078125,82.1513671875
17,42,error_only,62.2607421875,82.20849609375
18,42,error_only,62.28857421875,82.296875
19,42,error_only,62.302734375,82.4033203125
20,42,error_only,62.3291015625,82.525390625
21,42,error_only,62.34326171875,82.525390625
22,42,error_only,62.36962890625,82.595703125
23,42,error_only,62.3876953125,82.6396484375
24,42,error_only,62.41259765625,82.70068359375
25,42,error_only,62.4296875,82.7607421875
26,42,error_only,62.45703125,82.8515625
27,42,error_only,62.47119140625,82.86962890625
28,42,error_only,62.49755859375,82.93505859375
29,42,error_only,62.51171875,82.96484375
1,42,ours,61.90185546875,82.96484375
2,42,ours,61.732421875,82.96484375
3,42,ours,61.76123046875,82.96484375
4,42,ours,61.7724609375,82.96484375
5,42,ours,61.7939453125,82.96484375
6,42,ours,61.80517578125,82.96484375
7,42,ours,61.82666015625,82.96484375
8,42,ours,62.0625,82.96484375
9,42,ours,62.08642578125,82.96484375
10,42,ours,62.1044921875,82.96484375
11,42,ours,62.1318359375,82.96484375
12,42,ours,62.14599609375,82.96484375
13,42,ours,62.17236328125,82.96484375
14,42,ours,62.1865234375,82.96484375
15,42,ours,62.2197265625,82.96484375
16,42,ours,62.248046875,82.96484375
17,42,ours,62.26220703125,82.96484375
18,42,ours,62.28857421875,82.96484375
