seed,policy,n_frames,budget_ms,init_psnr,final_psnr,mean_psnr,median_psnr,std_psnr,cumulative_delta_q,mean_ssim,mean_depth_l1,mean_n_gaussians,final_n_gaussians,mean_n_selected,mean_fraction_selected,mean_jaccard_overlap,mean_predicted_cost,mean_scheduled_cost,mean_actual_opt_ms,median_actual_opt_ms,p95_actual_opt_ms,mean_frame_wall_ms,opt_violation_rate_pct,frame_violation_rate_pct,max_norm_drift,total_trajectory_time_s,catastrophic_failures
42,no_op,29,15.0,13.435028791427612,12.139074802398682,12.348568233950385,12.140172719955444,0.5679318501476512,-1.2959539890289307,0.5157214660069038,1.38946926182714,4538.689655172414,5499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6363.032619999951,0.0,100.0,0.0,184.55396786600022,0
42,error_only,29,15.0,13.435028791427612,12.15455412864685,12.344280070271985,12.15783953666687,0.5767192476029701,-1.2804746627807617,0.5140484571456909,1.38946926182714,4549.724137931034,5531,1.0344827586206897,0.00023319215637153788,0.0,8.571682370942215,9.428850749443317,8.83552123760355,8.152008056640625,10.989236831665036,6562.0802131034625,3.4482758620689653,100.0,0.0,190.3260021000001,0
42,ours,29,15.0,13.435028791427612,12.141588926315308,12.338194312720463,12.141588926315308,0.5750957655982754,-1.2934398651123047,0.5148046499696272,1.38946926182714,4524.241379310345,5487,0.8275862068965517,0.00017717968114220117,0.0,9.347744875940784,10.282519603597708,10.269033497777478,11.333703994750977,17.463445663452145,6704.285124275883,10.344827586206897,100.0,0.830956220626831,194.45007330299995,0
42,full,29,15.0,13.435028791427612,12.184364795684814,12.363363545516442,12.186088562011719,0.5660551659102677,-1.2506639957427979,0.515585642436455,1.38946926182714,4529.862068965517,5496,4529.862068965517,1.0,0.0,0.0,0.0,467.643639137005,458.09102058410645,517.1459674835205,7057.793202172402,0.0,0.0,0.0,204.76029852500005,0
43,no_op,29,15.0,13.435028791427612,12.161511182785034,12.345900042303677,12.161943912506104,0.5677246849542431,-1.2735176086425781,0.5146451921298586,1.38946926182714,4535.241379310345,5506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6387.959739862049,0.0,100.0,0.0,185.27735050399997,0
43,error_only,29,15.0,13.435028791427612,12.149627208709717,12.33835117570285,12.150336503982544,0.5743196912178808,-1.2854015827178955,0.5140403786609913,1.38946926182714,4525.931034482759,5491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6383.514280413753,0.0,100.0,0.0,185.14336570399973,0
43,ours,29,15.0,13.435028791427612,12.13104248046875,12.342781856142242,12.132972478866577,0.570211519276113,-1.3039863109588623,0.5152476378555956,1.38946926182714,4539.379310344828,5518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6230.441688069012,0.0,100.0,0.8310185074806213,180.706423265,0
44,no_op,29,15.0,13.435028791427612,12.150859832763672,12.334185633166083,12.15199589729309,0.5741979682134173,-1.2841689586639404,0.5140143766485411,1.38946926182714,4524.724137931034,5487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6270.214188275812,0.0,100.0,0.0,181.8623419180003,0
44,error_only,29,15.0,13.435028791427612,12.115421295166016,12.327019140638154,12.116249799728394,0.575623138094623,-1.3196074962615967,0.5138016990546522,1.38946926182714,4525.517241379311,5487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6340.4107335173685,0.0,100.0,0.0,183.8957713890004,0
44,ours,29,15.0,13.435028791427612,12.148722410202026,12.342902750804507,12.148722410202026,0.5729224159088563,-1.286306381225586,0.5143814354107298,1.38946926182714,4543.206896551724,5513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6263.484965310329,0.0,100.0,0.8310648202896118,181.66414242100018,0
45,no_op,29,15.0,13.435028791427612,12.160204648971558,12.340722001832107,12.160204648971558,0.5733398779906949,-1.2748241424560547,0.5142904037031634,1.38946926182714,4546.931034482759,5517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6273.531385379225,0.0,100.0,0.0,181.95779166900047,0
45,error_only,29,15.0,13.435028791427612,12.136878967285156,12.334928060400076,12.140308618545532,0.5751188859588655,-1.298149824142456,0.5142158341818842,1.38946926182714,4545.3448275862065,5513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6221.7451427587275,0.0,100.0,0.0,180.4546653110001,0
45,ours,29,15.0,13.435028791427612,12.152512073516846,12.344232139916256,12.152512073516846,0.5710865106833617,-1.2825167179107666,0.5147320289036323,1.38946926182714,4552.3448275862065,5536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6238.853521310407,0.0,100.0,0.8311821222305298,180.94862107100016,0
46,no_op,29,15.0,13.435028791427612,12.154546976089478,12.340384269582815,12.158315181732178,0.5684521668282199,-1.2804818153381348,0.5143289339953455,1.38946926182714,4545.310344827586,5517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7233.427166793136,0.0,100.0,0.0,209.79830083699926,0
46,error_only,29,15.0,13.435028791427612,12.148205041885376,12.356489362387821,12.148635387420654,0.5701941332703239,-1.2868237495422363,0.5158609172393536,1.38946926182714,4546.448275862069,5511,7.0,0.0015656770696780087,0.0,13.124634676966174,14.43709843734215,42.979421286747375,42.444467544555664,58.39715003967285,8519.785631137926,96.55172413793103,100.0,0.0,247.11691333700037,0
46,ours,29,15.0,13.435028791427612,12.181627750396729,12.356606721878052,12.181627750396729,0.5646596693307518,-1.2534010410308838,0.5155146378895332,1.38946926182714,4528.275862068966,5504,2.1724137931034484,0.0004511418740243074,0.03423645320197045,10.26798231848355,11.294780846299796,35.99644529408422,32.54413604736328,83.14170837402341,9589.299852724127,86.20689655172413,100.0,0.8310399651527405,278.1351518239999,0
