frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
1,legacy_init_legacy_dense,no_op,42,True,3502,64,3566,3267,0,13.458311557769775,0.653879702091217,1.3533592224121094,0.8889063000679016,0.0,5522.093681000115,0.023282766342163086,0.023282766342163086,False
2,legacy_init_legacy_dense,no_op,42,True,3566,73,3639,3314,0,13.445096015930176,0.6509947776794434,1.3560621738433838,0.8901172280311584,0.0,5658.765949001463,-0.01321554183959961,0.010067224502563477,False
3,legacy_init_legacy_dense,no_op,42,True,3639,68,3707,3355,0,13.334468603134155,0.6387116312980652,1.3608897924423218,0.8920312523841858,0.0,5595.182869999917,-0.11062741279602051,-0.10056018829345703,False
4,legacy_init_legacy_dense,no_op,42,True,3707,70,3777,3423,0,13.161375522613525,0.6219772696495056,1.3368854522705078,0.892578125,0.0,5573.259490000055,-0.17309308052062988,-0.2736532688140869,False
5,legacy_init_legacy_dense,no_op,42,True,3777,72,3849,3466,0,13.018903732299805,0.6071698665618896,1.36764395236969,0.8960286378860474,0.0,5507.242630999826,-0.1424717903137207,-0.4161250591278076,False
6,legacy_init_legacy_dense,no_op,42,True,3849,69,3918,3511,0,13.002057075500488,0.6045676469802856,1.3397855758666992,0.8968750238418579,0.0,5775.495825999315,-0.016846656799316406,-0.432971715927124,False
7,legacy_init_legacy_dense,no_op,42,True,3918,79,3997,3556,0,12.995394468307495,0.6020423769950867,1.3465946912765503,0.8987500071525574,0.0,5414.682605998678,-0.006662607192993164,-0.4396343231201172,False
8,legacy_init_legacy_dense,no_op,42,True,3997,68,4065,3604,0,13.017358779907227,0.603917121887207,1.3449037075042725,0.8998568058013916,0.0,5538.5986490000505,0.021964311599731445,-0.41767001152038574,False
9,legacy_init_legacy_dense,no_op,42,True,4065,66,4131,3625,0,12.974213361740112,0.5956952571868896,1.330196738243103,0.9004948139190674,0.0,5741.733130000284,-0.04314541816711426,-0.4608154296875,False
10,legacy_init_legacy_dense,no_op,42,True,4131,71,4202,3653,0,12.893688678741455,0.5840330719947815,1.329634428024292,0.9003255367279053,0.0,5772.74481799941,-0.08052468299865723,-0.5413401126861572,False
11,legacy_init_legacy_dense,no_op,42,True,4202,67,4269,3692,0,12.82400369644165,0.5713174343109131,1.3303253650665283,0.9007161855697632,0.0,5808.591127999534,-0.06968498229980469,-0.6110250949859619,False
12,legacy_init_legacy_dense,no_op,42,True,4269,76,4345,3714,0,12.70435094833374,0.5545269846916199,1.3418779373168945,0.9013411402702332,0.0,5926.360636000027,-0.11965274810791016,-0.7306778430938721,False
13,legacy_init_legacy_dense,no_op,42,True,4345,72,4417,3742,0,12.544634342193604,0.5325633883476257,1.3744534254074097,0.9016016125679016,0.0,6409.850292000556,-0.15971660614013672,-0.8903944492340088,False
14,legacy_init_legacy_dense,no_op,42,True,4417,69,4486,3755,0,12.418855428695679,0.515191912651062,1.3736311197280884,0.9015104174613953,0.0,6279.885348998505,-0.1257789134979248,-1.0161733627319336,False
15,legacy_init_legacy_dense,no_op,42,True,4486,71,4557,3762,0,12.278573513031006,0.4955737590789795,1.3793480396270752,0.9134244918823242,0.0,6175.2790059999825,-0.14028191566467285,-1.1564552783966064,False
16,legacy_init_legacy_dense,no_op,42,True,4557,66,4623,3780,0,12.185139656066895,0.48028621077537537,1.3964228630065918,0.9137499928474426,0.0,6423.995735000062,-0.09343385696411133,-1.2498891353607178,False
17,legacy_init_legacy_dense,no_op,42,True,4623,66,4689,3792,0,12.149606943130493,0.4716554880142212,1.4090666770935059,0.9136198163032532,0.0,6598.128264999104,-0.03553271293640137,-1.2854218482971191,False
18,legacy_init_legacy_dense,no_op,42,True,4689,73,4762,3811,0,12.021623849868774,0.45021146535873413,1.4057201147079468,0.9141406416893005,0.0,6505.786335001176,-0.12798309326171875,-1.413404941558838,False
19,legacy_init_legacy_dense,no_op,42,True,4762,71,4833,3829,0,11.964036226272583,0.44036537408828735,1.421609878540039,0.9139974117279053,0.0,6667.135645999224,-0.057587623596191406,-1.4709925651550293,False
20,legacy_init_legacy_dense,no_op,42,True,4833,68,4901,3850,0,11.956666707992554,0.43488460779190063,1.424498438835144,0.9141796827316284,0.0,6659.389152999211,-0.007369518280029297,-1.4783620834350586,False
21,legacy_init_legacy_dense,no_op,42,True,4901,68,4969,3861,0,11.91288948059082,0.42533040046691895,1.4319705963134766,0.9141927361488342,0.0,6755.7273719994555,-0.0437772274017334,-1.522139310836792,False
22,legacy_init_legacy_dense,no_op,42,True,4969,74,5043,3877,0,11.894418001174927,0.42388778924942017,1.4348652362823486,0.9139974117279053,0.0,6669.2471639998985,-0.018471479415893555,-1.5406107902526855,False
23,legacy_init_legacy_dense,no_op,42,True,5043,69,5112,3885,0,11.919991970062256,0.4263635277748108,1.4314640760421753,0.9190495014190674,0.0,6879.765051999129,0.0255739688873291,-1.5150368213653564,False
24,legacy_init_legacy_dense,no_op,42,True,5112,72,5184,3912,0,12.01115369796753,0.4380057454109192,1.4347059726715088,0.9196484684944153,0.0,6960.259778001273,0.09116172790527344,-1.423875093460083,False
25,legacy_init_legacy_dense,no_op,42,True,5184,68,5252,3925,0,12.114231586456299,0.45339974761009216,1.4379076957702637,0.9195963740348816,0.0,7057.198517999495,0.10307788848876953,-1.3207972049713135,False
26,legacy_init_legacy_dense,no_op,42,True,5252,70,5322,3921,0,12.154744863510132,0.46377643942832947,1.436058521270752,0.9194531440734863,0.0,7178.689255000791,0.04051327705383301,-1.2802839279174805,False
27,legacy_init_legacy_dense,no_op,42,True,5322,71,5393,3930,0,12.269268035888672,0.4810866713523865,1.454829454421997,0.9194270968437195,0.0,7191.579031999936,0.11452317237854004,-1.1657607555389404,False
28,legacy_init_legacy_dense,no_op,42,True,5393,70,5463,3957,0,12.4477219581604,0.5047985315322876,1.462035894393921,0.9194010496139526,0.0,6883.866193998983,0.17845392227172852,-0.9873068332672119,False
29,legacy_init_legacy_dense,no_op,42,True,5463,66,5529,3977,0,12.4442720413208,0.5050808191299438,1.4478615522384644,0.919348955154419,0.0,7397.834135001176,-0.0034499168395996094,-0.9907567501068115,False
30,legacy_init_legacy_dense,no_op,42,True,5529,65,5594,3989,0,12.419475317001343,0.5016369819641113,1.427314043045044,0.9194141030311584,0.0,7512.326812000538,-0.024796724319458008,-1.0155534744262695,False
1,legacy_init_legacy_dense,full,42,True,3502,64,3566,3267,3566,13.484621047973633,0.654977023601532,1.3533592224121094,0.8889063000679016,460.5748653411865,5866.149989000405,0.04959225654602051,0.04959225654602051,False
2,legacy_init_legacy_dense,full,42,True,3566,73,3639,3314,3639,13.466640710830688,0.6515852808952332,1.3560621738433838,0.8901172280311584,401.3092517852783,5827.3385080010485,-0.017980337142944336,0.03161191940307617,False
