frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
1,new_init_new_dense,no_op,42,True,14073,1267,15340,14073,0,11.622461080551147,0.5792478919029236,1.3533592224121094,0.8232682347297668,0.0,6258.785789003014,-0.019440650939941406,-0.019440650939941406,False
2,new_init_new_dense,no_op,42,True,15340,1257,16597,15339,0,11.618233919143677,0.5617170333862305,1.3560621738433838,0.8252604603767395,0.0,6258.814649001579,-0.004227161407470703,-0.02366781234741211,False
3,new_init_new_dense,no_op,42,True,16597,1240,17837,16585,0,11.562250852584839,0.5375009775161743,1.3608897924423218,0.8269140720367432,0.0,6640.3176540043205,-0.05598306655883789,-0.07965087890625,False
4,new_init_new_dense,no_op,42,True,17837,1281,19118,17793,0,11.556048393249512,0.5212917327880859,1.3368854522705078,0.8319010734558105,0.0,7070.155860994419,-0.0062024593353271484,-0.08585333824157715,False
5,new_init_new_dense,no_op,42,True,19118,1270,20388,19014,0,11.582324504852295,0.5134291052818298,1.36764395236969,0.8357682228088379,0.0,7495.454653006163,0.026276111602783203,-0.059577226638793945,False
6,new_init_new_dense,no_op,42,True,20388,1294,21682,20187,0,11.680476665496826,0.5182279348373413,1.3397855758666992,0.8387370109558105,0.0,8212.381602003006,0.09815216064453125,0.038574934005737305,False
7,new_init_new_dense,no_op,42,True,21682,1275,22957,21316,0,11.775912046432495,0.5229462385177612,1.3465946912765503,0.8417578339576721,0.0,8562.092384003336,0.09543538093566895,0.13401031494140625,False
8,new_init_new_dense,no_op,42,True,22957,1277,24234,22361,0,11.866170167922974,0.5281139612197876,1.3449037075042725,0.8441666960716248,0.0,9050.416120997397,0.09025812149047852,0.22426843643188477,False
9,new_init_new_dense,no_op,42,True,24234,1283,25517,23355,0,11.958752870559692,0.5299281477928162,1.330196738243103,0.8463151454925537,0.0,9725.936870003352,0.09258270263671875,0.3168511390686035,False
10,new_init_new_dense,no_op,42,True,25517,1287,26804,24251,0,12.020046710968018,0.5277420878410339,1.329634428024292,0.8472786545753479,0.0,10167.012146004708,0.061293840408325195,0.3781449794769287,False
11,new_init_new_dense,no_op,42,True,26804,1275,28079,25048,0,11.987229585647583,0.5126850605010986,1.3303253650665283,0.84940105676651,0.0,10655.163233997882,-0.03281712532043457,0.34532785415649414,False
12,new_init_new_dense,no_op,42,True,28079,1292,29371,25723,0,11.888632774353027,0.49006280303001404,1.3418779373168945,0.8497265577316284,0.0,11218.685166000796,-0.09859681129455566,0.24673104286193848,False
13,new_init_new_dense,no_op,42,True,29371,1282,30653,26225,0,11.773619651794434,0.46703797578811646,1.3744534254074097,0.8519921898841858,0.0,11766.940371999226,-0.11501312255859375,0.13171792030334473,False
14,new_init_new_dense,no_op,42,True,30653,1264,31917,26673,0,11.694355010986328,0.45036014914512634,1.3736311197280884,0.8525781631469727,0.0,12241.829313999915,-0.07926464080810547,0.05245327949523926,False
15,new_init_new_dense,no_op,42,True,31917,1274,33191,27086,0,11.611642837524414,0.43236610293388367,1.3793480396270752,0.8532161712646484,0.0,12675.682895998762,-0.08271217346191406,-0.030258893966674805,False
16,new_init_new_dense,no_op,42,True,33191,1266,34457,27418,0,11.565090417861938,0.4213537573814392,1.3964228630065918,0.8547005653381348,0.0,13109.883684999659,-0.046552419662475586,-0.07681131362915039,False
17,new_init_new_dense,no_op,42,True,34457,1258,35715,27647,0,11.552600860595703,0.4155629575252533,1.4090666770935059,0.857200562953949,0.0,13684.696308999264,-0.012489557266235352,-0.08930087089538574,False
18,new_init_new_dense,no_op,42,True,35715,1285,37000,27858,0,11.48108720779419,0.39592403173446655,1.4057201147079468,0.8575000166893005,0.0,14080.840820002777,-0.07151365280151367,-0.16081452369689941,False
19,new_init_new_dense,no_op,42,True,37000,1287,38287,28068,0,11.455484628677368,0.3894772231578827,1.421609878540039,0.8583984375,0.0,14938.566958997399,-0.02560257911682129,-0.1864171028137207,False
20,new_init_new_dense,no_op,42,True,38287,1279,39566,28181,0,11.464569568634033,0.3847582936286926,1.424498438835144,0.8592187762260437,0.0,15331.791672004329,0.009084939956665039,-0.17733216285705566,False
21,new_init_new_dense,no_op,42,True,39566,1298,40864,28341,0,11.41994595527649,0.3732585310935974,1.4319705963134766,0.8592969179153442,0.0,15911.812313002883,-0.044623613357543945,-0.2219557762145996,False
