policy,seed,frame,psnr,actual_opt_ms,n_selected
no_op,42,1,13.458311557769775,0.0,0
no_op,42,2,13.427187204360962,0.0,0
no_op,42,3,13.296022415161133,0.0,0
no_op,42,4,13.115640878677368,0.0,0
no_op,42,5,12.948522567749023,0.0,0
no_op,42,6,12.887736558914185,0.0,0
no_op,42,7,12.8402841091156,0.0,0
no_op,42,8,12.833518981933594,0.0,0
no_op,42,9,12.791733741760254,0.0,0
no_op,42,10,12.717790603637695,0.0,0
no_op,42,11,12.649879455566406,0.0,0
no_op,42,12,12.531801462173462,0.0,0
no_op,42,13,12.356104850769043,0.0,0
no_op,42,14,12.226564884185791,0.0,0
no_op,42,15,12.099219560623169,0.0,0
no_op,42,16,11.991214752197266,0.0,0
no_op,42,17,11.940466165542603,0.0,0
no_op,42,18,11.815102100372314,0.0,0
no_op,42,19,11.742609739303589,0.0,0
no_op,42,20,11.73110842704773,0.0,0
no_op,42,21,11.662253141403198,0.0,0
no_op,42,22,11.639635562896729,0.0,0
no_op,42,23,11.66559100151062,0.0,0
no_op,42,24,11.758512258529663,0.0,0
no_op,42,25,11.857333183288574,0.0,0
no_op,42,26,11.878472566604614,0.0,0
no_op,42,27,11.966613531112671,0.0,0
no_op,42,28,12.140172719955444,0.0,0
no_op,42,29,12.139074802398682,0.0,0
error_only,42,1,13.465136289596558,33.63656997680664,2
error_only,42,2,13.42924952507019,6.549358367919922,1
error_only,42,3,13.30426812171936,10.119199752807617,1
error_only,42,4,13.130381107330322,7.335424423217773,1
error_only,42,5,12.960329055786133,8.971929550170898,1
error_only,42,6,12.89258599281311,5.539655685424805,1
error_only,42,7,12.845547199249268,9.26518440246582,1
error_only,42,8,12.834752798080444,11.56926155090332,1
error_only,42,9,12.792786359786987,6.528615951538086,1
error_only,42,10,12.715709209442139,9.129524230957031,1
error_only,42,11,12.641414403915405,7.982969284057617,1
error_only,42,12,12.530635595321655,8.186101913452148,1
error_only,42,13,12.357598543167114,5.327463150024414,1
error_only,42,14,12.223317623138428,6.222009658813477,1
error_only,42,15,12.083617448806763,8.646965026855469,1
error_only,42,16,11.965585947036743,5.56635856628418,1
error_only,42,17,11.91246747970581,7.281780242919922,1
error_only,42,18,11.787680387496948,9.432554244995117,1
error_only,42,19,11.717078685760498,9.066343307495117,1
error_only,42,20,11.703349351882935,9.886026382446289,1
