policy,display_name,seed,mean_psnr,final_psnr,init_psnr,delta_q_vs_noop,mean_ssim,mean_actual_opt_ms,mean_frame_wall_ms,mean_n_selected,mean_fraction_selected,final_n_gaussians,mean_vram_mb,max_vram_mb,budget_ms
no_op,No-Op (Pass-through),42,12.348568233950385,12.139074802398682,13.435028791427612,0.0,0.5157214660069038,0.0,6363.032619999951,0.0,0.0,5499,51.05355940193966,69.29052734375,15.0
error_only,Error-Only Heuristic,42,12.344280070271985,12.15455412864685,13.435028791427612,-0.00428816367839957,0.5140484571456909,8.83552123760355,6562.0802131034625,1.0344827586206897,0.02331921563715379,5531,62.2193393049569,82.9423828125,15.0
ours,Ours (Adaptive Marginal Utility),42,12.338194312720463,12.141588926315308,13.435028791427612,-0.01037392122992209,0.5148046499696272,10.269033497777478,6704.285124275883,0.8275862068965517,0.017717968114220117,5487,62.16830549568966,82.98486328125,15.0
full,Full Optimization (Ref. Bound),42,12.363363545516442,12.184364795684814,13.435028791427612,0.014795311566057734,0.515585642436455,467.643639137005,7057.793202172402,4529.862068965517,100.0,5496,60.41887796336207,536.63818359375,15.0
random,Random Selection,42,12.353886859170322,12.164232730865479,13.435028791427612,0.00531862521993709,0.5147714584038176,8.907655189777243,6046.747861827592,1.0344827586206897,0.02332456392242833,5510,62.21758822737069,82.97900390625,15.0
grad_norm,Sensitivity (Grad-Norm),42,12.347924133826947,12.15003252029419,13.435028791427612,-0.0006441001234378518,0.5149852284069719,8.189891946726831,6019.709461586146,1.0,0.022405255678958104,5513,62.21558459051724,82.97900390625,15.0
importance,Spatial Importance,42,12.353020330955243,12.144912481307983,13.435028791427612,0.004452097004858047,0.515730704726844,7.651041293966359,6108.734954345233,1.0,0.02232019968505775,5527,62.221023033405174,82.97900390625,15.0
no_op,No-Op (Pass-through),43,12.345900042303677,12.161511182785034,13.435028791427612,0.0,0.5146451921298586,0.0,6387.959739862049,0.0,0.0,5506,60.17919921875,536.63818359375,15.0
error_only,Error-Only Heuristic,43,12.33835117570285,12.149627208709717,13.435028791427612,-0.007548866600826543,0.5140403786609913,0.0,6383.514280413753,0.0,0.0,5491,60.174602640086206,536.63818359375,15.0
ours,Ours (Adaptive Marginal Utility),43,12.342781856142242,12.13104248046875,13.435028791427612,-0.0031181861614353323,0.5152476378555956,0.0,6230.441688069012,0.0,0.0,5518,60.17943494073276,536.63818359375,15.0
random,Random Selection,43,12.345492716493277,12.134897708892822,13.435028791427612,-0.0004073258104000388,0.5151635562551433,0.0,5653.1232302077115,0.0,0.0,5499,60.17456896551724,82.97900390625,15.0
grad_norm,Sensitivity (Grad-Norm),43,12.334823608398438,12.144887447357178,13.435028791427612,-0.011076433905239824,0.5143124399514034,0.0,5629.033131103417,0.0,0.0,5513,60.17962015086207,82.97900390625,15.0
importance,Spatial Importance,43,12.354732299673147,12.170157432556152,13.435028791427612,0.008832257369469687,0.516069404010115,0.0,5690.740075828091,0.0,0.0,5561,60.185344827586206,82.97900390625,15.0
no_op,No-Op (Pass-through),44,12.334185633166083,12.150859832763672,13.435028791427612,0.0,0.5140143766485411,0.0,6270.214188275812,0.0,0.0,5487,60.175831761853445,536.63818359375,15.0
error_only,Error-Only Heuristic,44,12.327019140638154,12.115421295166016,13.435028791427612,-0.007166492527929336,0.5138016990546522,0.0,6340.4107335173685,0.0,0.0,5487,60.17596646012931,536.63818359375,15.0
ours,Ours (Adaptive Marginal Utility),44,12.342902750804507,12.148722410202026,13.435028791427612,0.008717117638424199,0.5143814354107298,0.0,6263.484965310329,0.0,0.0,5513,60.17983903556034,536.63818359375,15.0
random,Random Selection,44,12.338137010048175,12.140177488327026,13.435028791427612,0.003951376882092461,0.5143035187803465,0.0,5724.014687483101,0.0,0.0,5542,60.18463766163793,82.97900390625,15.0
grad_norm,Sensitivity (Grad-Norm),44,12.340281831807104,12.150336503982544,13.435028791427612,0.006096198641021289,0.5144334065503088,0.0,5755.990495068545,0.0,0.0,5515,60.179485452586206,82.97900390625,15.0
importance,Spatial Importance,44,12.327860758222382,12.14111328125,13.435028791427612,-0.00632487494370082,0.5136766906442314,0.0,5832.376263620596,0.0,0.0,5492,60.1771450700431,82.97900390625,15.0
no_op,No-Op (Pass-through),45,12.340722001832107,12.160204648971558,13.435028791427612,0.0,0.5142904037031634,0.0,6273.531385379225,0.0,0.0,5517,60.18093345905172,536.63818359375,15.0
error_only,Error-Only Heuristic,45,12.334928060400076,12.136878967285156,13.435028791427612,-0.005793941432031602,0.5142158341818842,0.0,6221.7451427587275,0.0,0.0,5513,60.18059671336207,536.63818359375,15.0
ours,Ours (Adaptive Marginal Utility),45,12.344232139916256,12.152512073516846,13.435028791427612,0.003510138084148906,0.5147320289036323,0.0,6238.853521310407,0.0,0.0,5536,60.1826171875,536.63818359375,15.0
random,Random Selection,45,12.3374670538409,12.136807441711426,13.435028791427612,-0.003254947991207402,0.5145385306456993,0.0,5781.591997999981,0.0,0.0,5506,60.17844154094828,82.97900390625,15.0
grad_norm,Sensitivity (Grad-Norm),45,12.344121768556793,12.166451215744019,13.435028791427612,0.003399766724685449,0.5150933563709259,0.0,5765.060767103619,0.0,0.0,5484,60.17600013469828,82.97900390625,15.0
importance,Spatial Importance,45,12.336848193201526,12.14576244354248,13.435028791427612,-0.003873808630581621,0.5142382835519725,0.0,5758.326071792971,0.0,0.0,5512,60.181623787715516,82.97900390625,15.0
no_op,No-Op (Pass-through),46,12.340384269582815,12.154546976089478,13.435028791427612,0.0,0.5143289339953455,0.0,7233.427166793136,0.0,0.0,5517,60.18009159482759,536.63818359375,15.0
error_only,Error-Only Heuristic,46,12.356489362387821,12.148205041885376,13.435028791427612,0.01610509280500594,0.5158609172393536,42.979421286747375,8519.785631137926,7.0,0.15656770696780087,5511,62.21713362068966,536.63818359375,15.0
ours,Ours (Adaptive Marginal Utility),46,12.356606721878052,12.181627750396729,13.435028791427612,0.016222452295236778,0.5155146378895332,35.99644529408422,9589.299852724127,2.1724137931034484,0.04511418740243074,5504,61.938122979525865,536.63818359375,15.0
random,Random Selection,46,12.353553155372882,12.166589498519897,13.435028791427612,0.013168885790067364,0.5151319277697596,30.169906287357726,6225.72498968983,7.0,0.15679893116081747,5521,62.215129983836206,82.97900390625,15.0
grad_norm,Sensitivity (Grad-Norm),46,12.357216662374036,12.160426378250122,13.435028791427612,0.01683239279122084,0.5153007209300995,27.001520683025493,6193.458226034699,6.862068965517241,0.15263477975999065,5520,62.21832906788793,82.97900390625,15.0
importance,Spatial Importance,46,12.34303906046111,12.132657766342163,13.435028791427612,0.0026547908782958984,0.5146938511009874,28.384356663144867,6250.142983241451,6.827586206896552,0.1520904538739374,5487,62.214153421336206,82.97900390625,15.0
