scene,sensor,seed,frame,psnr_ours,psnr_error,delta_q,win
tum_fr2_xyz,Freiburg 2,42,1,13.464378118515015,13.465136289596558,-0.0007581710815429688,0
tum_fr2_xyz,Freiburg 2,42,2,13.425371646881104,13.42924952507019,-0.003877878189086914,0
tum_fr2_xyz,Freiburg 2,42,3,13.298478126525879,13.30426812171936,-0.005789995193481445,0
tum_fr2_xyz,Freiburg 2,42,4,13.113037347793579,13.130381107330322,-0.017343759536743164,0
tum_fr2_xyz,Freiburg 2,42,5,12.942581176757812,12.960329055786133,-0.017747879028320312,0
tum_fr2_xyz,Freiburg 2,42,6,12.881356477737427,12.89258599281311,-0.011229515075683594,0
tum_fr2_xyz,Freiburg 2,42,7,12.837859392166138,12.845547199249268,-0.007687807083129883,0
tum_fr2_xyz,Freiburg 2,42,8,12.837458848953247,12.834752798080444,0.0027060508728027344,1
tum_fr2_xyz,Freiburg 2,42,9,12.794569730758667,12.792786359786987,0.0017833709716796875,1
tum_fr2_xyz,Freiburg 2,42,10,12.720123529434204,12.715709209442139,0.00441431999206543,1
tum_fr2_xyz,Freiburg 2,42,11,12.641619443893433,12.641414403915405,0.00020503997802734375,1
tum_fr2_xyz,Freiburg 2,42,12,12.512990236282349,12.530635595321655,-0.01764535903930664,0
tum_fr2_xyz,Freiburg 2,42,13,12.33305811882019,12.357598543167114,-0.024540424346923828,0
tum_fr2_xyz,Freiburg 2,42,14,12.209975719451904,12.223317623138428,-0.013341903686523438,0
tum_fr2_xyz,Freiburg 2,42,15,12.075674533843994,12.083617448806763,-0.007942914962768555,0
tum_fr2_xyz,Freiburg 2,42,16,11.959278583526611,11.965585947036743,-0.006307363510131836,0
tum_fr2_xyz,Freiburg 2,42,17,11.91747784614563,11.91246747970581,0.005010366439819336,1
tum_fr2_xyz,Freiburg 2,42,18,11.795897483825684,11.787680387496948,0.008217096328735352,1
tum_fr2_xyz,Freiburg 2,42,19,11.72350525856018,11.717078685760498,0.006426572799682617,1
tum_fr2_xyz,Freiburg 2,42,20,11.710842847824097,11.703349351882935,0.007493495941162109,1
tum_fr2_xyz,Freiburg 2,42,21,11.644679307937622,11.641055345535278,0.00362396240234375,1
tum_fr2_xyz,Freiburg 2,42,22,11.624823808670044,11.62416934967041,0.0006544589996337891,1
tum_fr2_xyz,Freiburg 2,42,23,11.645581722259521,11.647698879241943,-0.002117156982421875,0
tum_fr2_xyz,Freiburg 2,42,24,11.739543676376343,11.745120286941528,-0.005576610565185547,0
tum_fr2_xyz,Freiburg 2,42,25,11.844984292984009,11.853880882263184,-0.008896589279174805,0
tum_fr2_xyz,Freiburg 2,42,26,11.867767572402954,11.882078647613525,-0.014311075210571289,0
tum_fr2_xyz,Freiburg 2,42,27,11.963245868682861,11.984233856201172,-0.020987987518310547,0
tum_fr2_xyz,Freiburg 2,42,28,12.139885425567627,12.15783953666687,-0.017954111099243164,0
tum_fr2_xyz,Freiburg 2,42,29,12.141588926315308,12.15455412864685,-0.012965202331542969,0
tum_fr2_xyz,Freiburg 2,43,1,13.458311557769775,13.458311557769775,0.0,1
tum_fr2_xyz,Freiburg 2,43,2,13.422921895980835,13.424530029296875,-0.001608133316040039,0
tum_fr2_xyz,Freiburg 2,43,3,13.296021223068237,13.297531604766846,-0.0015103816986083984,0
tum_fr2_xyz,Freiburg 2,43,4,13.116377592086792,13.118332624435425,-0.0019550323486328125,0
tum_fr2_xyz,Freiburg 2,43,5,12.947543859481812,12.947930097579956,-0.00038623809814453125,0
tum_fr2_xyz,Freiburg 2,43,6,12.878377437591553,12.877899408340454,0.0004780292510986328,1
tum_fr2_xyz,Freiburg 2,43,7,12.830860614776611,12.83291220664978,-0.0020515918731689453,0
tum_fr2_xyz,Freiburg 2,43,8,12.83229947090149,12.825977802276611,0.00632166862487793,1
tum_fr2_xyz,Freiburg 2,43,9,12.784770727157593,12.790800333023071,-0.006029605865478516,0
tum_fr2_xyz,Freiburg 2,43,10,12.717818021774292,12.70918607711792,0.00863194465637207,1
tum_fr2_xyz,Freiburg 2,43,11,12.645915746688843,12.639062404632568,0.006853342056274414,1
tum_fr2_xyz,Freiburg 2,43,12,12.526777982711792,12.518346309661865,0.008431673049926758,1
tum_fr2_xyz,Freiburg 2,43,13,12.350062131881714,12.340900897979736,0.009161233901977539,1
tum_fr2_xyz,Freiburg 2,43,14,12.223634719848633,12.211741209030151,0.011893510818481445,1
