frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
1,new_init_new_dense,no_op,42,True,14073,599,14672,14073,0,11.622461080551147,0.5792478919029236,0.4352632462978363,0.8060807585716248,0.0,571.2783580092946,0.050187110900878906,0.050187110900878906,False
2,new_init_new_dense,no_op,42,True,14672,549,15221,14672,0,11.551741361618042,0.5546826124191284,0.3942236304283142,0.8107161521911621,0.0,480.5785479984479,-0.07071971893310547,-0.020532608032226562,False
3,new_init_new_dense,no_op,42,True,15221,512,15733,15218,0,11.444897651672363,0.5246058702468872,0.3810625672340393,0.8141927123069763,0.0,546.7664449970471,-0.10684370994567871,-0.12737631797790527,False
4,new_init_new_dense,no_op,42,True,15733,502,16235,15720,0,11.419541835784912,0.5055196285247803,0.3607267737388611,0.8192578554153442,0.0,518.0710029962938,-0.025355815887451172,-0.15273213386535645,False
5,new_init_new_dense,no_op,42,True,16235,564,16799,16202,0,11.398638486862183,0.49026283621788025,0.36829614639282227,0.8249609470367432,0.0,534.9510780069977,-0.020903348922729492,-0.17363548278808594,False
6,new_init_new_dense,no_op,42,True,16799,442,17241,16717,0,11.469049453735352,0.48948270082473755,0.3372763395309448,0.828125,0.0,558.5013749951031,0.07041096687316895,-0.10322451591491699,False
7,new_init_new_dense,no_op,42,True,17241,424,17665,17111,0,11.497021913528442,0.4865260124206543,0.33853429555892944,0.8312890529632568,0.0,556.9132370001171,0.02797245979309082,-0.07525205612182617,False
8,new_init_new_dense,no_op,42,True,17665,415,18080,17497,0,11.545077562332153,0.4872208833694458,0.32445472478866577,0.8340625166893005,0.0,570.1865180017194,0.04805564880371094,-0.027196407318115234,False
9,new_init_new_dense,no_op,42,True,18080,360,18440,17836,0,11.601587533950806,0.48401331901550293,0.31769222021102905,0.8360677361488342,0.0,567.5842709897552,0.056509971618652344,0.02931356430053711,False
10,new_init_new_dense,no_op,42,True,18440,402,18842,18093,0,11.637766361236572,0.47771698236465454,0.3172137141227722,0.8377734422683716,0.0,568.4884509973926,0.0361788272857666,0.06549239158630371,False
11,new_init_new_dense,no_op,42,True,18842,393,19235,18363,0,11.627897024154663,0.4624394178390503,0.31725868582725525,0.8402864933013916,0.0,587.0822159922682,-0.00986933708190918,0.05562305450439453,False
12,new_init_new_dense,no_op,42,True,19235,413,19648,18615,0,11.575108766555786,0.4411977231502533,0.3272835612297058,0.8409505486488342,0.0,584.306976001244,-0.05278825759887695,0.002834796905517578,False
13,new_init_new_dense,no_op,42,True,19648,495,20143,18862,0,11.509174108505249,0.4188564717769623,0.3442407250404358,0.8419531583786011,0.0,598.4931690036319,-0.06593465805053711,-0.06309986114501953,False
14,new_init_new_dense,no_op,42,True,20143,471,20614,19125,0,11.46932601928711,0.40326374769210815,0.3471173942089081,0.8435156345367432,0.0,626.8920479924418,-0.03984808921813965,-0.10294795036315918,False
15,new_init_new_dense,no_op,42,True,20614,524,21138,19386,0,11.454235315322876,0.3884355425834656,0.3559006154537201,0.8447526097297668,0.0,674.3687139969552,-0.015090703964233398,-0.11803865432739258,False
