seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
42,tum_fr1_desk_val,random,0.1,0.2219375018030405,0.2411363124847412,0.019198810681700706,0.19994617253541946
42,tum_fr1_desk_val,random,0.2,0.239924855530262,0.3321757912635803,0.09225093573331833,0.2179335281252861
42,tum_fr1_desk_val,random,0.4,0.13564449548721313,0.4303746223449707,0.29473012685775757,0.13270124793052673
42,tum_fr1_desk_val,random,0.6,0.1471695899963379,0.5066201090812683,0.3594505190849304,0.10479038953781128
42,tum_fr1_desk_val,random,0.8,0.05947071313858032,0.5387634038925171,0.47929269075393677,0.056403517723083496
42,tum_fr1_desk_val,error_only,0.1,0.1909492090344429,0.2411363124847412,0.05018710345029831,0.1909492090344429
42,tum_fr1_desk_val,error_only,0.2,0.2439182624220848,0.3321757912635803,0.08825752884149551,0.23860953748226166
42,tum_fr1_desk_val,error_only,0.4,0.25072623789310455,0.4303746223449707,0.17964838445186615,0.19346050918102264
42,tum_fr1_desk_val,error_only,0.6,0.2617752403020859,0.5066201090812683,0.24484486877918243,0.25205719470977783
42,tum_fr1_desk_val,error_only,0.8,0.12375974655151367,0.5387634038925171,0.4150036573410034,0.11315792798995972
42,tum_fr1_desk_val,heuristic,0.1,0.20528464391827583,0.2411363124847412,0.03585166856646538,0.22160418145358562
42,tum_fr1_desk_val,heuristic,0.2,0.2713388651609421,0.3321757912635803,0.060836926102638245,0.3121859170496464
42,tum_fr1_desk_val,heuristic,0.4,0.2740454077720642,0.4303746223449707,0.1563292145729065,0.28105947375297546
42,tum_fr1_desk_val,heuristic,0.6,0.10878336429595947,0.5066201090812683,0.39783674478530884,0.10878333449363708
42,tum_fr1_desk_val,heuristic,0.8,0.11939924955368042,0.5387634038925171,0.41936415433883667,0.1263885498046875
42,tum_fr1_desk_val,learned,0.1,0.23711396008729935,0.2411363124847412,0.004022352397441864,0.13084500283002853
42,tum_fr1_desk_val,learned,0.2,0.22473004460334778,0.3321757912635803,0.10744574666023254,0.21963172405958176
42,tum_fr1_desk_val,learned,0.4,0.25490768253803253,0.4303746223449707,0.17546693980693817,0.27668583393096924
42,tum_fr1_desk_val,learned,0.6,0.23809680342674255,0.5066201090812683,0.26852330565452576,0.23180896043777466
42,tum_fr1_desk_val,learned,0.8,0.05678480863571167,0.5387634038925171,0.4819785952568054,0.19270342588424683
42,tum_fr1_desk_val,oracle,0.1,0.0,0.2411363124847412,0.2411363124847412,-0.021991342306137085
42,tum_fr1_desk_val,oracle,0.2,0.0,0.3321757912635803,0.3321757912635803,0.0
42,tum_fr1_desk_val,oracle,0.4,0.0,0.4303746223449707,0.4303746223449707,-0.028330206871032715
42,tum_fr1_desk_val,oracle,0.6,0.0,0.5066201090812683,0.5066201090812683,-0.007796943187713623
42,tum_fr1_desk_val,oracle,0.8,0.0,0.5387634038925171,0.5387634038925171,0.0
42,tum_fr2_xyz,random,0.1,0.06565299071371555,0.09468899667263031,0.029036005958914757,0.06565299071371555
42,tum_fr2_xyz,random,0.2,0.13734998926520348,0.14261093735694885,0.005260948091745377,0.14253205491695553
42,tum_fr2_xyz,random,0.4,0.13471809029579163,0.23647519946098328,0.10175710916519165,0.149583138525486
42,tum_fr2_xyz,random,0.6,0.12969819456338882,0.23266978561878204,0.10297159105539322,0.07964490354061127
42,tum_fr2_xyz,random,0.8,0.09342873096466064,0.2437291443347931,0.15030041337013245,0.095452681183815
42,tum_fr2_xyz,error_only,0.1,0.07258718460798264,0.09468899667263031,0.022101812064647675,0.09553215466439724
42,tum_fr2_xyz,error_only,0.2,0.1291136620566249,0.14261093735694885,0.013497275300323963,0.12075109593570232
42,tum_fr2_xyz,error_only,0.4,0.1907835714519024,0.23647519946098328,0.04569162800908089,0.1907835677266121
42,tum_fr2_xyz,error_only,0.6,0.112362802028656,0.23266978561878204,0.12030698359012604,0.08574807643890381
42,tum_fr2_xyz,error_only,0.8,0.04611906409263611,0.2437291443347931,0.19761008024215698,0.046284183859825134
42,tum_fr2_xyz,heuristic,0.1,0.10774570982903242,0.09468899667263031,-0.013056713156402111,0.09606429236009717
42,tum_fr2_xyz,heuristic,0.2,0.13640546798706055,0.14261093735694885,0.006205469369888306,0.1261096391826868
42,tum_fr2_xyz,heuristic,0.4,0.14580904692411423,0.23647519946098328,0.09066615253686905,0.09987607598304749
42,tum_fr2_xyz,heuristic,0.6,0.10983814299106598,0.23266978561878204,0.12283164262771606,0.12681201100349426
42,tum_fr2_xyz,heuristic,0.8,0.08595924079418182,0.2437291443347931,0.15776990354061127,0.05527915060520172
42,tum_fr2_xyz,learned,0.1,0.08260547183454037,0.09468899667263031,0.012083524838089943,0.08412848133593798
42,tum_fr2_xyz,learned,0.2,0.1150718443095684,0.14261093735694885,0.027539093047380447,0.11718083173036575
42,tum_fr2_xyz,learned,0.4,0.08390726149082184,0.23647519946098328,0.15256793797016144,0.08390726149082184
