experiment,variant,beta,seed,domain,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg
sensitivity,B2_beta_0.80,0.8,42,tum_fr1_desk_val,0.1,0.05306234583258629,0.14877355098724365,0.35666515932314097,0.3838752839049028
sensitivity,B2_beta_0.80,0.8,42,tum_fr1_desk_val,0.2,0.1867445707321167,0.22372642159461975,0.8347005286817778,0.541391219043127
sensitivity,B2_beta_0.80,0.8,42,tum_fr1_desk_val,0.4,0.258422315120697,0.37412458658218384,0.6907386402324646,0.6181278155435299
sensitivity,B2_beta_0.80,0.8,42,tum_fr1_desk_val,0.6,0.32290804386138916,0.4049728810787201,0.7973571835913854,0.6581614230792958
sensitivity,B2_beta_0.80,0.8,42,tum_fr1_desk_val,0.8,0.4076228439807892,0.44048771262168884,0.9253897964617608,0.6826665156903573
sensitivity,B2_beta_0.80,0.8,42,tum_fr2_xyz,0.1,0.0747782289981842,0.09468899667263031,0.7897245057888935,0.684069561018027
sensitivity,B2_beta_0.80,0.8,42,tum_fr2_xyz,0.2,0.07564136385917664,0.14344912767410278,0.5273044166429476,0.6701175308392764
sensitivity,B2_beta_0.80,0.8,42,tum_fr2_xyz,0.4,0.17335668206214905,0.23647519946098328,0.7330860704481231,0.7966356639141245
sensitivity,B2_beta_0.80,0.8,42,tum_fr2_xyz,0.6,0.1754675805568695,0.23266978561878204,0.754148513734737,0.8342808608551376
sensitivity,B2_beta_0.80,0.8,42,tum_fr2_xyz,0.8,0.18181881308555603,0.2437291443347931,0.745987133060843,0.8479534734609234
sensitivity,B2_beta_0.80,0.8,43,tum_fr1_desk_val,0.1,0.12577305734157562,0.22852715849876404,0.5503636970947542,0.5639628499767095
sensitivity,B2_beta_0.80,0.8,43,tum_fr1_desk_val,0.2,0.15772637724876404,0.3096950054168701,0.5092958213630072,0.5425048735437473
sensitivity,B2_beta_0.80,0.8,43,tum_fr1_desk_val,0.4,0.32953977584838867,0.436788409948349,0.7544608803671062,0.6555232443780982
sensitivity,B2_beta_0.80,0.8,43,tum_fr1_desk_val,0.6,0.4562920331954956,0.4868185222148895,0.937293884683258,0.676870963747357
sensitivity,B2_beta_0.80,0.8,43,tum_fr1_desk_val,0.8,0.5197800993919373,0.5047381520271301,1.0298014663769341,0.703932451264233
sensitivity,B2_beta_0.80,0.8,43,tum_fr2_xyz,0.1,0.04288620129227638,0.08183559775352478,0.5240530677238016,0.5655172468465169
sensitivity,B2_beta_0.80,0.8,43,tum_fr2_xyz,0.2,0.11418022215366364,0.19038072228431702,0.5997467326848257,0.6199589345205854
sensitivity,B2_beta_0.80,0.8,43,tum_fr2_xyz,0.4,0.1743624210357666,0.337510347366333,0.5166135415705599,0.6185614467199625
sensitivity,B2_beta_0.80,0.8,43,tum_fr2_xyz,0.6,0.3364129066467285,0.3901675343513489,0.8622267831272662,0.6992624664365807
sensitivity,B2_beta_0.80,0.8,43,tum_fr2_xyz,0.8,0.4134129583835602,0.47540831565856934,0.8695955372907516,0.7337713804110721
