config,base_type,beta,seed,domain,step,frame,n_samples,latency_ms,t_norm_per_cand_us,d_norm,mu_l2_shift,sigma_l2_shift,mean_mu,mean_sigma,overlap_20,per_frame_rho
B0,A1_standard,0.0,42,tum_fr1_desk_val,0,45,125,0.021452997316373512,0.1716239785309881,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.07788018433179723
B0,A1_standard,0.0,42,tum_fr1_desk_val,1,55,125,0.037881000025663525,0.3030480002053082,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.16,0.17858678955453147
B2_static,A1_b2_static_start,0.0,42,tum_fr1_desk_val,0,45,125,0.025320001441286877,0.20256001153029501,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.07788018433179723
B2_static,A1_b2_static_start,0.0,42,tum_fr1_desk_val,1,55,125,0.027846999728353694,0.22277599782682955,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.16,0.17858678955453147
B2_beta_0.80,A1_online_adaptive,0.8,42,tum_fr1_desk_val,0,45,125,0.06744699931005016,0.5395759944804013,0.21567964553833008,1.9011324644088745,6.520971298217773,9.18838119506836,11.278462409973145,1.0,0.09622734254992318
B2_beta_0.80,A1_online_adaptive,0.8,42,tum_fr1_desk_val,1,55,125,0.07961599840200506,0.6369279872160405,0.18120163679122925,1.5243775844573975,2.498765707015991,9.365828514099121,11.56974983215332,0.16,0.14309677419354835
B2_beta_0.90,A1_online_adaptive,0.9,42,tum_fr1_desk_val,0,45,125,0.0673829999868758,0.5390639998950064,0.10784061253070831,0.9505739212036133,3.2604856491088867,9.291945457458496,11.636651039123535,1.0,0.08344086021505376
B2_beta_0.90,A1_online_adaptive,0.9,42,tum_fr1_desk_val,1,55,125,0.09884600149234757,0.7907680119387805,0.08029861003160477,0.6676039099693298,0.9246285557746887,9.370312690734863,11.746475219726562,0.16,0.1589185867895545
B2_beta_0.95,A1_online_adaptive,0.95,42,tum_fr1_desk_val,0,45,125,0.0835230021039024,0.6681840168312192,0.05392026901245117,0.47528690099716187,1.6302467584609985,9.343729019165039,11.815744400024414,1.0,0.08130875576036865
B2_beta_0.95,A1_online_adaptive,0.95,42,tum_fr1_desk_val,1,55,125,0.0849839998409152,0.6798719987273216,0.037573594599962234,0.3101811110973358,0.381337970495224,9.380324363708496,11.861702919006348,0.16,0.17083870967741932
B0,A1_standard,0.0,42,tum_fr2_xyz,0,10,125,0.02728099934756756,0.21824799478054047,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.021775729646697384
B0,A1_standard,0.0,42,tum_fr2_xyz,1,20,125,0.032203999580815434,0.2576319966465235,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.24,0.1164731182795699
B2_static,A1_b2_static_start,0.0,42,tum_fr2_xyz,0,10,125,0.02447299993946217,0.19578399951569736,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.021775729646697384
B2_static,A1_b2_static_start,0.0,42,tum_fr2_xyz,1,20,125,0.030383998819161206,0.24307199055328965,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.24,0.1164731182795699
B2_beta_0.80,A1_online_adaptive,0.8,42,tum_fr2_xyz,0,10,125,0.10996799755957909,0.8797439804766327,0.3813023865222931,2.4777064323425293,9.407289505004883,9.146468162536621,11.189569473266602,1.0,0.023023041474654376
B2_beta_0.80,A1_online_adaptive,0.8,42,tum_fr2_xyz,1,20,125,0.1051439976436086,0.8411519811488688,0.16080641746520996,1.0133399963378906,2.077890157699585,9.207892417907715,11.348276138305664,0.24,0.25886943164362514
B2_beta_0.90,A1_online_adaptive,0.9,42,tum_fr2_xyz,0,10,125,0.07036399983917363,0.562911998713389,0.19065198302268982,1.2388601303100586,4.703644752502441,9.270989418029785,11.592205047607422,1.0,0.013867895545314896
B2_beta_0.90,A1_online_adaptive,0.9,42,tum_fr2_xyz,1,20,125,0.08362700100406073,0.6690160080324858,0.07653126120567322,0.4506065547466278,0.7078193426132202,9.289249420166016,11.631295204162598,0.24,0.2124669738863287
B2_beta_0.95,A1_online_adaptive,0.95,42,tum_fr2_xyz,0,10,125,0.06726700303261168,0.5381360242608935,0.09532594680786133,0.6194300055503845,2.3518259525299072,9.333250999450684,11.793523788452148,1.0,0.02460829493087557
B2_beta_0.95,A1_online_adaptive,0.95,42,tum_fr2_xyz,1,20,125,0.07940900104586035,0.6352720083668828,0.03729776665568352,0.21663516759872437,0.30730482935905457,9.339268684387207,11.80300235748291,0.24,0.1655668202764977
B0,A1_standard,0.0,43,tum_fr1_desk_val,0,45,125,0.02605500048957765,0.2084400039166212,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.31031029185867887
B0,A1_standard,0.0,43,tum_fr1_desk_val,1,55,125,0.03927199941244908,0.3141759952995926,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.0,0.29832258064516126
B2_static,A1_b2_static_start,0.0,43,tum_fr1_desk_val,0,45,125,0.02363599924137816,0.18908799393102527,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.31031029185867887
B2_static,A1_b2_static_start,0.0,43,tum_fr1_desk_val,1,55,125,0.029202998121036217,0.23362398496828973,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.0,0.29832258064516126
B2_beta_0.80,A1_online_adaptive,0.8,43,tum_fr1_desk_val,0,45,125,0.06549699901370332,0.5239759921096265,0.21567964553833008,1.9011324644088745,6.520971298217773,9.18838119506836,11.278462409973145,1.0,0.2724976958525345
B2_beta_0.80,A1_online_adaptive,0.8,43,tum_fr1_desk_val,1,55,125,0.08149199857143685,0.6519359885714948,0.18120163679122925,1.5243775844573975,2.498765707015991,9.365828514099121,11.56974983215332,0.04,0.25800307219662055
B2_beta_0.90,A1_online_adaptive,0.9,43,tum_fr1_desk_val,0,45,125,0.5901950025872793,4.721560020698234,0.10784061253070831,0.9505739212036133,3.2604856491088867,9.291945457458496,11.636651039123535,1.0,0.2876251920122887
B2_beta_0.90,A1_online_adaptive,0.9,43,tum_fr1_desk_val,1,55,125,0.1265479986614082,1.0123839892912656,0.08029861003160477,0.6676039099693298,0.9246285557746887,9.370312690734863,11.746475219726562,0.04,0.27760983102918585
B2_beta_0.95,A1_online_adaptive,0.95,43,tum_fr1_desk_val,0,45,125,0.08005899871932343,0.6404719897545874,0.05392026901245117,0.47528690099716187,1.6302467584609985,9.343729019165039,11.815744400024414,1.0,0.2991827956989247
B2_beta_0.95,A1_online_adaptive,0.95,43,tum_fr1_desk_val,1,55,125,0.10207499872194603,0.8165999897755682,0.037573594599962234,0.3101811110973358,0.381337970495224,9.380324363708496,11.861702919006348,0.04,0.2857081413210445
B0,A1_standard,0.0,43,tum_fr2_xyz,0,10,125,0.02870800017262809,0.22966400138102472,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.08918586789554529
B0,A1_standard,0.0,43,tum_fr2_xyz,1,20,125,0.03548400127328932,0.2838720101863146,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.28,0.0504700460829493
B2_static,A1_b2_static_start,0.0,43,tum_fr2_xyz,0,10,125,0.02825399860739708,0.22603198885917664,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.08918586789554529
B2_static,A1_b2_static_start,0.0,43,tum_fr2_xyz,1,20,125,0.030535000405507162,0.2442800032440573,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.28,0.0504700460829493
B2_beta_0.80,A1_online_adaptive,0.8,43,tum_fr2_xyz,0,10,125,0.07271099821082316,0.5816879856865853,0.3813023865222931,2.4777064323425293,9.407289505004883,9.146468162536621,11.189569473266602,1.0,0.16054685099846389
B2_beta_0.80,A1_online_adaptive,0.8,43,tum_fr2_xyz,1,20,125,0.1361860013275873,1.0894880106206983,0.16080641746520996,1.0133399963378906,2.077890157699585,9.207892417907715,11.348276138305664,0.28,0.07995698924731182
B2_beta_0.90,A1_online_adaptive,0.9,43,tum_fr2_xyz,0,10,125,0.07086800178512931,0.5669440142810345,0.19065198302268982,1.2388601303100586,4.703644752502441,9.270989418029785,11.592205047607422,1.0,0.16282642089093702
B2_beta_0.90,A1_online_adaptive,0.9,43,tum_fr2_xyz,1,20,125,0.08352299846592359,0.6681839877273887,0.07653126120567322,0.4506065547466278,0.7078193426132202,9.289249420166016,11.631295204162598,0.32,0.10796313364055297
B2_beta_0.95,A1_online_adaptive,0.95,43,tum_fr2_xyz,0,10,125,0.066230000811629,0.529840006493032,0.09532594680786133,0.6194300055503845,2.3518259525299072,9.333250999450684,11.793523788452148,1.0,0.13009523809523807
B2_beta_0.95,A1_online_adaptive,0.95,43,tum_fr2_xyz,1,20,125,0.08266900113085285,0.6613520090468228,0.03729776665568352,0.21663516759872437,0.30730482935905457,9.339268684387207,11.80300235748291,0.28,0.07270046082949308
B0,A1_standard,0.0,44,tum_fr1_desk_val,0,45,125,0.04205799996270798,0.33646399970166385,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.32312749615975417
B0,A1_standard,0.0,44,tum_fr1_desk_val,1,55,125,0.05328699990059249,0.42629599920473993,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.12,0.3500399385560675
B2_static,A1_b2_static_start,0.0,44,tum_fr1_desk_val,0,45,125,0.025449000531807542,0.20359200425446033,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.32312749615975417
B2_static,A1_b2_static_start,0.0,44,tum_fr1_desk_val,1,55,125,0.027970996598014608,0.22376797278411686,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.12,0.3500399385560675
B2_beta_0.80,A1_online_adaptive,0.8,44,tum_fr1_desk_val,0,45,125,0.06751299952156842,0.5401039961725473,0.21567964553833008,1.9011324644088745,6.520971298217773,9.18838119506836,11.278462409973145,1.0,0.34113671274961593
B2_beta_0.80,A1_online_adaptive,0.8,44,tum_fr1_desk_val,1,55,125,0.07620299948030151,0.6096239958424121,0.18120163679122925,1.5243775844573975,2.498765707015991,9.365828514099121,11.56974983215332,0.08,0.36784024577572955
B2_beta_0.90,A1_online_adaptive,0.9,44,tum_fr1_desk_val,0,45,125,0.07221399937407114,0.5777119949925691,0.10784061253070831,0.9505739212036133,3.2604856491088867,9.291945457458496,11.636651039123535,1.0,0.32957910906298
B2_beta_0.90,A1_online_adaptive,0.9,44,tum_fr1_desk_val,1,55,125,0.08998100020107813,0.719848001608625,0.08029861003160477,0.6676039099693298,0.9246285557746887,9.370312690734863,11.746475219726562,0.08,0.3620768049155145
B2_beta_0.95,A1_online_adaptive,0.95,44,tum_fr1_desk_val,0,45,125,0.07143499897210859,0.5714799917768687,0.05392026901245117,0.47528690099716187,1.6302467584609985,9.343729019165039,11.815744400024414,1.0,0.32764362519201223
B2_beta_0.95,A1_online_adaptive,0.95,44,tum_fr1_desk_val,1,55,125,0.08078199971350841,0.6462559977080673,0.037573594599962234,0.3101811110973358,0.381337970495224,9.380324363708496,11.861702919006348,0.08,0.3575299539170506
B0,A1_standard,0.0,44,tum_fr2_xyz,0,10,125,0.028146998374722898,0.22517598699778318,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.3883932411674347
B0,A1_standard,0.0,44,tum_fr2_xyz,1,20,125,0.03205399843864143,0.25643198750913143,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.2,0.33541013824884786
B2_static,A1_b2_static_start,0.0,44,tum_fr2_xyz,0,10,125,0.027692000003298745,0.22153600002638996,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.3883932411674347
B2_static,A1_b2_static_start,0.0,44,tum_fr2_xyz,1,20,125,0.05844199768034741,0.4675359814427793,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.2,0.33541013824884786
B2_beta_0.80,A1_online_adaptive,0.8,44,tum_fr2_xyz,0,10,125,0.08544700176571496,0.6835760141257197,0.3813023865222931,2.4777064323425293,9.407289505004883,9.146468162536621,11.189569473266602,1.0,0.5532288786482334
B2_beta_0.80,A1_online_adaptive,0.8,44,tum_fr2_xyz,1,20,125,0.07930600258987397,0.6344480207189918,0.16080641746520996,1.0133399963378906,2.077890157699585,9.207892417907715,11.348276138305664,0.2,0.286900153609831
B2_beta_0.90,A1_online_adaptive,0.9,44,tum_fr2_xyz,0,10,125,0.06798500180593692,0.5438800144474953,0.19065198302268982,1.2388601303100586,4.703644752502441,9.270989418029785,11.592205047607422,1.0,0.4921167434715821
B2_beta_0.90,A1_online_adaptive,0.9,44,tum_fr2_xyz,1,20,125,0.07907400140538812,0.6325920112431049,0.07653126120567322,0.4506065547466278,0.7078193426132202,9.289249420166016,11.631295204162598,0.24,0.3178187403993855
B2_beta_0.95,A1_online_adaptive,0.95,44,tum_fr2_xyz,0,10,125,0.06781799675081857,0.5425439740065485,0.09532594680786133,0.6194300055503845,2.3518259525299072,9.333250999450684,11.793523788452148,1.0,0.43657757296466965
B2_beta_0.95,A1_online_adaptive,0.95,44,tum_fr2_xyz,1,20,125,0.08711600094102323,0.6969280075281858,0.03729776665568352,0.21663516759872437,0.30730482935905457,9.339268684387207,11.80300235748291,0.24,0.32286943164362514
B0,A1_standard,0.0,45,tum_fr1_desk_val,0,45,125,0.028932001441717148,0.23145601153373718,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.09581566820276496
B0,A1_standard,0.0,45,tum_fr1_desk_val,1,55,125,0.031668001611251384,0.25334401289001107,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.16,0.13517050691244237
B2_static,A1_b2_static_start,0.0,45,tum_fr1_desk_val,0,45,125,0.02405499981250614,0.19243999850004911,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.09581566820276496
B2_static,A1_b2_static_start,0.0,45,tum_fr1_desk_val,1,55,125,0.029460999940056354,0.23568799952045083,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.16,0.13517050691244237
B2_beta_0.80,A1_online_adaptive,0.8,45,tum_fr1_desk_val,0,45,125,0.06865400064270943,0.5492320051416755,0.21567964553833008,1.9011324644088745,6.520971298217773,9.18838119506836,11.278462409973145,1.0,0.08633486943164362
B2_beta_0.80,A1_online_adaptive,0.8,45,tum_fr1_desk_val,1,55,125,0.10925199967459776,0.874015997396782,0.18120163679122925,1.5243775844573975,2.498765707015991,9.365828514099121,11.56974983215332,0.16,0.10025192012288785
B2_beta_0.90,A1_online_adaptive,0.9,45,tum_fr1_desk_val,0,45,125,0.0700229975336697,0.5601839802693576,0.10784061253070831,0.9505739212036133,3.2604856491088867,9.291945457458496,11.636651039123535,1.0,0.09083870967741933
B2_beta_0.90,A1_online_adaptive,0.9,45,tum_fr1_desk_val,1,55,125,0.0819669985503424,0.6557359884027392,0.08029861003160477,0.6676039099693298,0.9246285557746887,9.370312690734863,11.746475219726562,0.12,0.12283256528417819
B2_beta_0.95,A1_online_adaptive,0.95,45,tum_fr1_desk_val,0,45,125,0.06873700112919323,0.5498960090335459,0.05392026901245117,0.47528690099716187,1.6302467584609985,9.343729019165039,11.815744400024414,1.0,0.0972227342549923
B2_beta_0.95,A1_online_adaptive,0.95,45,tum_fr1_desk_val,1,55,125,0.11351000284776092,0.9080800227820873,0.037573594599962234,0.3101811110973358,0.381337970495224,9.380324363708496,11.861702919006348,0.12,0.13045775729646697
B0,A1_standard,0.0,45,tum_fr2_xyz,0,10,125,0.027678001060849056,0.22142400848679245,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.33537327188940086
B0,A1_standard,0.0,45,tum_fr2_xyz,1,20,125,0.03446100163273513,0.27568801306188107,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.2,0.088147465437788
B2_static,A1_b2_static_start,0.0,45,tum_fr2_xyz,0,10,125,0.02630999733810313,0.21047997870482504,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.33537327188940086
B2_static,A1_b2_static_start,0.0,45,tum_fr2_xyz,1,20,125,0.030406001314986497,0.24324801051989198,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.2,0.088147465437788
B2_beta_0.80,A1_online_adaptive,0.8,45,tum_fr2_xyz,0,10,125,0.06760199903510511,0.5408159922808409,0.3813023865222931,2.4777064323425293,9.407289505004883,9.146468162536621,11.189569473266602,1.0,0.34450998463901683
B2_beta_0.80,A1_online_adaptive,0.8,45,tum_fr2_xyz,1,20,125,0.0844509995658882,0.6756079965271056,0.16080641746520996,1.0133399963378906,2.077890157699585,9.207892417907715,11.348276138305664,0.2,0.1354838709677419
B2_beta_0.90,A1_online_adaptive,0.9,45,tum_fr2_xyz,0,10,125,0.1258550000784453,1.0068400006275624,0.19065198302268982,1.2388601303100586,4.703644752502441,9.270989418029785,11.592205047607422,1.0,0.36200307219662053
B2_beta_0.90,A1_online_adaptive,0.9,45,tum_fr2_xyz,1,20,125,0.0837600018712692,0.6700800149701536,0.07653126120567322,0.4506065547466278,0.7078193426132202,9.289249420166016,11.631295204162598,0.2,0.12396927803379415
B2_beta_0.95,A1_online_adaptive,0.95,45,tum_fr2_xyz,0,10,125,0.07165500210248865,0.5732400168199092,0.09532594680786133,0.6194300055503845,2.3518259525299072,9.333250999450684,11.793523788452148,1.0,0.3576835637480798
B2_beta_0.95,A1_online_adaptive,0.95,45,tum_fr2_xyz,1,20,125,0.0846820003062021,0.6774560024496168,0.03729776665568352,0.21663516759872437,0.30730482935905457,9.339268684387207,11.80300235748291,0.2,0.0950168970814132
B0,A1_standard,0.0,46,tum_fr1_desk_val,0,45,125,0.028648002626141533,0.22918402100913227,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.42042396313364044
B0,A1_standard,0.0,46,tum_fr1_desk_val,1,55,125,0.03211700095562264,0.25693600764498115,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.36,0.3472012288786482
B2_static,A1_b2_static_start,0.0,46,tum_fr1_desk_val,0,45,125,0.039080001442926005,0.31264001154340804,0.0,0.0,0.0,9.395514488220215,11.994841575622559,1.0,0.42042396313364044
B2_static,A1_b2_static_start,0.0,46,tum_fr1_desk_val,1,55,125,0.030367998988367617,0.24294399190694094,0.0,0.0,0.0,9.395514488220215,11.994841575622559,0.36,0.3472012288786482
B2_beta_0.80,A1_online_adaptive,0.8,46,tum_fr1_desk_val,0,45,125,0.0669189976179041,0.5353519809432328,0.21567964553833008,1.9011324644088745,6.520971298217773,9.18838119506836,11.278462409973145,1.0,0.4168663594470045
B2_beta_0.80,A1_online_adaptive,0.8,46,tum_fr1_desk_val,1,55,125,0.08194499969249591,0.6555599975399673,0.18120163679122925,1.5243775844573975,2.498765707015991,9.365828514099121,11.56974983215332,0.4,0.340405529953917
