Gate,Metric,Mean,95% CI,p-value,Effect Size
Gate 1,Headroom H (Joint),+0.000148,"[+0.000084, +0.000212]",0.0312,+1.77
Gate 1,Negative Utility Rate (%),14.00%,"[11.67%, 16.67%]",N/A,N/A
Gate 2,OSE@20% - Random,0.2640,"[0.2186, 0.3073]",N/A,N/A
Gate 2,OSE@20% - RGB Error,0.3454,"[0.3454, 0.3454]",N/A,N/A
Gate 2,OSE@20% - Error × Influence,0.3362,"[0.3362, 0.3362]",N/A,N/A
Gate 2,OSE@20% - Binary,0.2882,"[0.2882, 0.2882]",N/A,N/A
Gate 2,OSE@20% - Heuristic Knapsack,0.1777,"[0.1777, 0.1777]",N/A,N/A
Gate 2,OSE@20% - Learned Two-Head (Ours),0.3535,"[0.2952, 0.4100]",N/A,N/A
Gate 2,OSE@20% - Oracle (Reference),1.0000,"[1.0000, 1.0000]",N/A,N/A
Gate 3,Absolute Gain at B=60%,+0.000094,"[+0.000065, +0.000114]",0.0312,+2.82
Gate 4,Online ΔQ vs Error-Only (dB),-0.0000 dB,"[-0.0007, +0.0007]",0.5000,-0.02
